"Time EST","Pressure (kPa)"
"2018-02-01 11:18","102.92"
"2018-02-01 11:28","102.92"
"2018-02-01 11:38","102.93"
"2018-02-01 11:48","102.94"
"2018-02-01 11:55","102.94"
"2018-02-01 11:58","102.95"
"2018-02-01 12:08","102.95"
"2018-02-01 12:18","102.95"
"2018-02-01 12:28","102.95"
"2018-02-01 12:38","102.95"
"2018-02-01 12:48","102.96"
"2018-02-01 12:55","102.97"
"2018-02-01 12:58","102.97"
"2018-02-01 13:08","102.97"
"2018-02-01 13:18","102.97"
"2018-02-01 13:28","102.97"
"2018-02-01 13:38","102.97"
"2018-02-01 13:48","102.97"
"2018-02-01 13:55","102.98"
"2018-02-01 13:58","102.98"
"2018-02-01 14:08","102.98"
"2018-02-01 14:18","102.99"
"2018-02-01 14:28","102.99"
"2018-02-01 14:38","102.99"
"2018-02-01 14:48","103.00"
"2018-02-01 14:55","103.01"
"2018-02-01 14:58","103.01"
"2018-02-01 15:08","103.01"
"2018-02-01 15:18","103.02"
"2018-02-01 15:28","103.03"
"2018-02-01 15:38","103.04"
"2018-02-01 15:48","103.05"
"2018-02-01 15:55","103.06"
"2018-02-01 15:58","103.06"
"2018-02-01 16:08","103.07"
"2018-02-01 16:18","103.08"
"2018-02-01 16:28","103.09"
"2018-02-01 16:38","103.10"
"2018-02-01 16:48","103.10"
"2018-02-01 16:55","103.12"
"2018-02-01 16:58","103.12"
"2018-02-01 17:08","103.12"
"2018-02-01 17:18","103.12"
"2018-02-01 17:28","103.13"
"2018-02-01 17:38","103.14"
"2018-02-01 17:48","103.14"
"2018-02-01 17:55","103.14"
"2018-02-01 17:58","103.15"
"2018-02-01 18:08","103.15"
"2018-02-01 18:18","103.16"
"2018-02-01 18:28","103.17"
"2018-02-01 18:38","103.17"
"2018-02-01 18:48","103.18"
"2018-02-01 18:55","103.18"
"2018-02-01 18:58","103.18"
"2018-02-01 19:08","103.19"
"2018-02-01 19:18","103.19"
"2018-02-01 19:28","103.20"
"2018-02-01 19:38","103.20"
"2018-02-01 19:48","103.21"
"2018-02-01 19:55","103.21"
"2018-02-01 19:58","103.21"
"2018-02-01 20:09","103.22"
"2018-02-01 20:18","103.23"
"2018-02-01 20:28","103.23"
"2018-02-01 20:38","103.24"
"2018-02-01 20:48","103.24"
"2018-02-01 20:55","103.24"
"2018-02-01 20:58","103.24"
"2018-02-01 21:08","103.24"
"2018-02-01 21:18","103.24"
"2018-02-01 21:28","103.24"
"2018-02-01 21:38","103.25"
"2018-02-01 21:48","103.25"
"2018-02-01 21:55","103.26"
"2018-02-01 21:58","103.26"
"2018-02-01 22:08","103.25"
"2018-02-01 22:18","103.26"
"2018-02-01 22:28","103.26"
"2018-02-01 22:38","103.26"
"2018-02-01 22:48","103.26"
"2018-02-01 22:55","103.26"
"2018-02-01 22:58","103.26"
"2018-02-01 23:08","103.26"
"2018-02-01 23:18","103.26"
"2018-02-01 23:29","103.27"
"2018-02-01 23:38","103.27"
"2018-02-01 23:58","103.27"
"2018-02-02 00:08","103.28"
"2018-02-02 00:18","103.29"
"2018-02-02 00:29","103.29"
"2018-02-02 00:38","103.29"
"2018-02-02 00:49","103.29"
"2018-02-02 00:55","103.29"
"2018-02-02 00:58","103.29"
"2018-02-02 01:09","103.29"
"2018-02-02 01:18","103.29"
"2018-02-02 01:28","103.29"
"2018-02-02 01:38","103.29"
"2018-02-02 01:48","103.29"
"2018-02-02 01:55","103.30"
"2018-02-02 01:58","103.30"
"2018-02-02 02:08","103.31"
"2018-02-02 02:18","103.31"
"2018-02-02 02:28","103.31"
"2018-02-02 02:38","103.31"
"2018-02-02 02:48","103.31"
"2018-02-02 02:55","103.31"
"2018-02-02 02:58","103.31"
"2018-02-02 03:08","103.32"
"2018-02-02 03:18","103.31"
"2018-02-02 03:28","103.32"
"2018-02-02 03:38","103.32"
"2018-02-02 03:48","103.32"
"2018-02-02 03:55","103.32"
"2018-02-02 03:58","103.33"
"2018-02-02 04:08","103.32"
"2018-02-02 04:18","103.33"
"2018-02-02 04:28","103.32"
"2018-02-02 04:38","103.32"
"2018-02-02 04:48","103.32"
"2018-02-02 04:55","103.31"
"2018-02-02 04:58","103.31"
"2018-02-02 05:08","103.32"
"2018-02-02 05:18","103.31"
"2018-02-02 05:28","103.31"
"2018-02-02 05:38","103.32"
"2018-02-02 05:48","103.31"
"2018-02-02 05:55","103.32"
"2018-02-02 05:58","103.31"
"2018-02-02 06:08","103.31"
"2018-02-02 06:18","103.31"
"2018-02-02 06:28","103.31"
"2018-02-02 06:38","103.31"
"2018-02-02 06:48","103.31"
"2018-02-02 06:55","103.31"
"2018-02-02 06:58","103.31"
"2018-02-02 07:08","103.31"
"2018-02-02 07:18","103.31"
"2018-02-02 07:28","103.30"
"2018-02-02 07:38","103.31"
"2018-02-02 07:48","103.31"
"2018-02-02 07:55","103.31"
"2018-02-02 07:58","103.30"
"2018-02-02 08:08","103.30"
"2018-02-02 08:18","103.30"
"2018-02-02 08:28","103.29"
"2018-02-02 08:38","103.29"
"2018-02-02 08:48","103.30"
"2018-02-02 08:55","103.30"
"2018-02-02 08:58","103.29"
"2018-02-02 09:08","103.29"
"2018-02-02 09:18","103.29"
"2018-02-02 09:28","103.29"
"2018-02-02 09:38","103.29"
"2018-02-02 09:49","103.29"
"2018-02-02 09:55","103.29"
"2018-02-02 09:58","103.28"
"2018-02-02 10:09","103.29"
"2018-02-02 10:18","103.29"
"2018-02-02 10:28","103.29"
"2018-02-02 10:38","103.29"
"2018-02-02 10:48","103.29"
"2018-02-02 10:55","103.28"
"2018-02-02 10:58","103.28"
"2018-02-02 11:08","103.27"
"2018-02-02 11:18","103.28"
"2018-02-02 11:28","103.28"
"2018-02-02 11:38","103.27"
"2018-02-02 11:48","103.27"
"2018-02-02 11:55","103.27"
"2018-02-02 11:58","103.27"
"2018-02-02 12:08","103.25"
"2018-02-02 12:18","103.25"
"2018-02-02 12:28","103.24"
"2018-02-02 12:38","103.23"
"2018-02-02 12:48","103.21"
"2018-02-02 12:55","103.21"
"2018-02-02 12:58","103.21"
"2018-02-02 13:08","103.20"
"2018-02-02 13:18","103.19"
"2018-02-02 13:28","103.19"
"2018-02-02 13:38","103.19"
"2018-02-02 13:48","103.18"
"2018-02-02 13:55","103.18"
"2018-02-02 13:58","103.17"
"2018-02-02 14:08","103.16"
"2018-02-02 14:18","103.17"
"2018-02-02 14:28","103.16"
"2018-02-02 14:38","103.15"
"2018-02-02 14:48","103.14"
"2018-02-02 14:55","103.13"
"2018-02-02 15:08","103.13"
"2018-02-02 15:28","103.12"
"2018-02-02 15:49","103.11"
"2018-02-02 15:55","103.12"
"2018-02-02 16:08","103.11"
"2018-02-02 16:29","103.12"
"2018-02-02 16:48","103.12"
"2018-02-02 16:55","103.12"
"2018-02-02 17:09","103.12"
"2018-02-02 17:29","103.11"
"2018-02-02 17:49","103.10"
"2018-02-02 17:55","103.10"
"2018-02-02 18:09","103.10"
"2018-02-02 18:29","103.10"
"2018-02-02 18:38","103.10"
"2018-02-02 18:48","103.09"
"2018-02-02 18:55","103.10"
"2018-02-02 18:58","103.10"
"2018-02-02 19:09","103.09"
"2018-02-02 19:18","103.09"
"2018-02-02 19:28","103.09"
"2018-02-02 19:38","103.09"
"2018-02-02 19:48","103.08"
"2018-02-02 19:55","103.08"
"2018-02-02 19:58","103.09"
"2018-02-02 20:08","103.08"
"2018-02-02 20:18","103.08"
"2018-02-02 20:28","103.07"
"2018-02-02 20:38","103.06"
"2018-02-02 20:49","103.06"
"2018-02-02 20:55","103.06"
"2018-02-02 20:58","103.06"
"2018-02-02 21:08","103.06"
"2018-02-02 21:18","103.06"
"2018-02-02 21:28","103.05"
"2018-02-02 21:38","103.05"
"2018-02-02 21:48","103.05"
"2018-02-02 21:55","103.06"
"2018-02-02 21:58","103.05"
"2018-02-02 22:08","103.06"
"2018-02-02 22:18","103.05"
"2018-02-02 22:28","103.06"
"2018-02-02 22:38","103.06"
"2018-02-02 22:48","103.05"
"2018-02-02 22:55","103.04"
"2018-02-02 22:58","103.04"
"2018-02-02 23:09","103.04"
"2018-02-02 23:18","103.05"
"2018-02-02 23:28","103.05"
"2018-02-02 23:38","103.05"
"2018-02-02 23:49","103.04"
"2018-02-02 23:55","103.04"
"2018-02-02 23:58","103.04"
"2018-02-03 00:08","103.04"
"2018-02-03 00:18","103.03"
"2018-02-03 00:28","103.03"
"2018-02-03 00:38","103.03"
"2018-02-03 00:48","103.02"
"2018-02-03 00:55","103.02"
"2018-02-03 00:58","103.02"
"2018-02-03 01:09","103.02"
"2018-02-03 01:18","103.01"
"2018-02-03 01:28","103.01"
"2018-02-03 01:38","103.01"
"2018-02-03 01:48","103.00"
"2018-02-03 01:55","103.00"
"2018-02-03 01:58","103.00"
"2018-02-03 02:08","102.99"
"2018-02-03 02:18","102.99"
"2018-02-03 02:28","102.99"
"2018-02-03 02:38","102.98"
"2018-02-03 02:48","102.98"
"2018-02-03 02:55","102.98"
"2018-02-03 02:58","102.98"
"2018-02-03 03:08","102.98"
"2018-02-03 03:18","102.98"
"2018-02-03 03:28","102.98"
"2018-02-03 03:38","102.97"
"2018-02-03 03:48","102.96"
"2018-02-03 03:55","102.95"
"2018-02-03 03:58","102.95"
"2018-02-03 04:08","102.96"
"2018-02-03 04:18","102.95"
"2018-02-03 04:28","102.94"
"2018-02-03 04:38","102.94"
"2018-02-03 04:48","102.95"
"2018-02-03 04:55","102.95"
"2018-02-03 04:58","102.94"
"2018-02-03 05:08","102.94"
"2018-02-03 05:18","102.95"
"2018-02-03 05:28","102.95"
"2018-02-03 05:38","102.95"
"2018-02-03 05:48","102.95"
"2018-02-03 05:55","102.95"
"2018-02-03 05:58","102.94"
"2018-02-03 06:08","102.93"
"2018-02-03 06:18","102.93"
"2018-02-03 06:28","102.92"
"2018-02-03 06:38","102.92"
"2018-02-03 06:48","102.91"
"2018-02-03 06:55","102.90"
"2018-02-03 06:58","102.90"
"2018-02-03 07:08","102.91"
"2018-02-03 07:18","102.91"
"2018-02-03 07:28","102.91"
"2018-02-03 07:38","102.90"
"2018-02-03 07:48","102.90"
"2018-02-03 07:55","102.89"
"2018-02-03 07:58","102.89"
"2018-02-03 08:09","102.88"
"2018-02-03 08:18","102.87"
"2018-02-03 08:28","102.86"
"2018-02-03 08:38","102.86"
"2018-02-03 08:48","102.86"
"2018-02-03 08:55","102.86"
"2018-02-03 08:58","102.86"
"2018-02-03 09:08","102.86"
"2018-02-03 09:18","102.87"
"2018-02-03 09:28","102.85"
"2018-02-03 09:38","102.85"
"2018-02-03 09:48","102.85"
"2018-02-03 09:55","102.84"
"2018-02-03 09:58","102.84"
"2018-02-03 10:08","102.84"
"2018-02-03 10:18","102.83"
"2018-02-03 10:29","102.82"
"2018-02-03 10:38","102.81"
"2018-02-03 10:48","102.81"
"2018-02-03 10:55","102.81"
"2018-02-03 10:58","102.81"
"2018-02-03 11:08","102.82"
"2018-02-03 11:18","102.83"
"2018-02-03 11:28","102.84"
"2018-02-03 11:38","102.84"
"2018-02-03 11:48","102.84"
"2018-02-03 11:55","102.83"
"2018-02-03 11:58","102.83"
"2018-02-03 12:08","102.82"
"2018-02-03 12:18","102.82"
"2018-02-03 12:28","102.82"
"2018-02-03 12:38","102.81"
"2018-02-03 12:48","102.81"
"2018-02-03 12:55","102.80"
"2018-02-03 12:58","102.80"
"2018-02-03 13:08","102.80"
"2018-02-03 13:18","102.80"
"2018-02-03 13:28","102.79"
"2018-02-03 13:38","102.79"
"2018-02-03 13:48","102.78"
"2018-02-03 13:55","102.78"
"2018-02-03 13:58","102.77"
"2018-02-03 14:08","102.77"
"2018-02-03 14:18","102.76"
"2018-02-03 14:28","102.75"
"2018-02-03 14:38","102.74"
"2018-02-03 14:48","102.74"
"2018-02-03 14:55","102.73"
"2018-02-03 14:58","102.73"
"2018-02-03 15:08","102.72"
"2018-02-03 15:18","102.72"
"2018-02-03 15:28","102.71"
"2018-02-03 15:38","102.71"
"2018-02-03 15:48","102.70"
"2018-02-03 15:55","102.70"
"2018-02-03 15:58","102.70"
"2018-02-03 16:08","102.70"
"2018-02-03 16:18","102.70"
"2018-02-03 16:28","102.71"
"2018-02-03 16:38","102.71"
"2018-02-03 16:48","102.71"
"2018-02-03 16:55","102.71"
"2018-02-03 16:58","102.71"
"2018-02-03 17:08","102.72"
"2018-02-03 17:18","102.71"
"2018-02-03 17:28","102.71"
"2018-02-03 17:38","102.71"
"2018-02-03 17:48","102.72"
"2018-02-03 17:55","102.72"
"2018-02-03 17:58","102.72"
"2018-02-03 18:08","102.72"
"2018-02-03 18:18","102.73"
"2018-02-03 18:28","102.74"
"2018-02-03 18:38","102.74"
"2018-02-03 18:49","102.75"
"2018-02-03 18:55","102.75"
"2018-02-03 18:58","102.75"
"2018-02-03 19:09","102.76"
"2018-02-03 19:18","102.76"
"2018-02-03 19:29","102.76"
"2018-02-03 19:38","102.77"
"2018-02-03 19:48","102.77"
"2018-02-03 19:55","102.78"
"2018-02-03 19:58","102.78"
"2018-02-03 20:09","102.78"
"2018-02-03 20:18","102.78"
"2018-02-03 20:29","102.79"
"2018-02-03 20:38","102.79"
"2018-02-03 20:48","102.79"
"2018-02-03 20:55","102.80"
"2018-02-03 20:58","102.80"
"2018-02-03 21:08","102.81"
"2018-02-03 21:18","102.82"
"2018-02-03 21:28","102.82"
"2018-02-03 21:38","102.82"
"2018-02-03 21:49","102.83"
"2018-02-03 21:55","102.83"
"2018-02-03 21:58","102.83"
"2018-02-03 22:08","102.83"
"2018-02-03 22:18","102.83"
"2018-02-03 22:28","102.84"
"2018-02-03 22:38","102.84"
"2018-02-03 22:49","102.85"
"2018-02-03 22:55","102.85"
"2018-02-03 22:58","102.86"
"2018-02-03 23:09","102.87"
"2018-02-03 23:18","102.86"
"2018-02-03 23:28","102.87"
"2018-02-03 23:38","102.87"
"2018-02-03 23:49","102.88"
"2018-02-03 23:55","102.88"
"2018-02-03 23:58","102.89"
"2018-02-04 00:09","102.89"
"2018-02-04 00:18","102.90"
"2018-02-04 00:29","102.90"
"2018-02-04 00:38","102.91"
"2018-02-04 00:49","102.91"
"2018-02-04 00:55","102.91"
"2018-02-04 00:58","102.91"
"2018-02-04 01:09","102.91"
"2018-02-04 01:18","102.91"
"2018-02-04 01:29","102.91"
"2018-02-04 01:38","102.91"
"2018-02-04 01:49","102.92"
"2018-02-04 01:55","102.92"
"2018-02-04 01:58","102.92"
"2018-02-04 02:08","102.92"
"2018-02-04 02:18","102.93"
"2018-02-04 02:29","102.93"
"2018-02-04 02:38","102.93"
"2018-02-04 02:48","102.94"
"2018-02-04 02:55","102.94"
"2018-02-04 02:58","102.94"
"2018-02-04 03:09","102.94"
"2018-02-04 03:18","102.94"
"2018-02-04 03:28","102.94"
"2018-02-04 03:38","102.94"
"2018-02-04 03:48","102.94"
"2018-02-04 03:55","102.94"
"2018-02-04 03:58","102.94"
"2018-02-04 04:08","102.95"
"2018-02-04 04:18","102.95"
"2018-02-04 04:28","102.95"
"2018-02-04 04:38","102.96"
"2018-02-04 04:48","102.95"
"2018-02-04 04:55","102.95"
"2018-02-04 04:58","102.95"
"2018-02-04 05:08","102.96"
"2018-02-04 05:18","102.96"
"2018-02-04 05:28","102.96"
"2018-02-04 05:38","102.96"
"2018-02-04 05:48","102.95"
"2018-02-04 05:55","102.96"
"2018-02-04 05:58","102.96"
"2018-02-04 06:08","102.96"
"2018-02-04 06:18","102.97"
"2018-02-04 06:29","102.96"
"2018-02-04 06:38","102.97"
"2018-02-04 06:48","102.96"
"2018-02-04 06:55","102.97"
"2018-02-04 06:58","102.97"
"2018-02-04 07:08","102.97"
"2018-02-04 07:18","102.97"
"2018-02-04 07:28","102.97"
"2018-02-04 07:38","102.98"
"2018-02-04 07:48","102.98"
"2018-02-04 07:55","102.98"
"2018-02-04 07:58","102.98"
"2018-02-04 08:08","102.98"
"2018-02-04 08:18","102.97"
"2018-02-04 08:28","102.98"
"2018-02-04 08:38","102.97"
"2018-02-04 08:48","102.98"
"2018-02-04 08:55","102.98"
"2018-02-04 08:58","102.97"
"2018-02-04 09:08","102.99"
"2018-02-04 09:18","102.99"
"2018-02-04 09:28","102.99"
"2018-02-04 09:38","102.98"
"2018-02-04 09:48","102.98"
"2018-02-04 09:55","102.98"
"2018-02-04 09:58","102.98"
"2018-02-04 10:08","102.98"
"2018-02-04 10:18","102.97"
"2018-02-04 10:28","102.97"
"2018-02-04 10:38","102.96"
"2018-02-04 10:48","102.96"
"2018-02-04 10:55","102.96"
"2018-02-04 10:58","102.96"
"2018-02-04 11:08","102.95"
"2018-02-04 11:18","102.94"
"2018-02-04 11:28","102.94"
"2018-02-04 11:38","102.93"
"2018-02-04 11:48","102.92"
"2018-02-04 11:55","102.92"
"2018-02-04 11:58","102.92"
"2018-02-04 12:08","102.91"
"2018-02-04 12:18","102.90"
"2018-02-04 12:28","102.89"
"2018-02-04 12:38","102.88"
"2018-02-04 12:48","102.87"
"2018-02-04 12:55","102.86"
"2018-02-04 12:58","102.85"
"2018-02-04 13:08","102.85"
"2018-02-04 13:18","102.84"
"2018-02-04 13:28","102.83"
"2018-02-04 13:38","102.82"
"2018-02-04 13:48","102.80"
"2018-02-04 13:55","102.79"
"2018-02-04 13:58","102.79"
"2018-02-04 14:08","102.79"
"2018-02-04 14:18","102.78"
"2018-02-04 14:28","102.76"
"2018-02-04 14:38","102.75"
"2018-02-04 14:48","102.73"
"2018-02-04 14:55","102.72"
"2018-02-04 14:58","102.72"
"2018-02-04 15:09","102.73"
"2018-02-04 15:18","102.72"
"2018-02-04 15:28","102.71"
"2018-02-04 15:38","102.70"
"2018-02-04 15:48","102.70"
"2018-02-04 15:55","102.69"
"2018-02-04 15:58","102.69"
"2018-02-04 16:08","102.69"
"2018-02-04 16:18","102.68"
"2018-02-04 16:28","102.67"
"2018-02-04 16:38","102.66"
"2018-02-04 16:48","102.65"
"2018-02-04 16:55","102.64"
"2018-02-04 16:58","102.64"
"2018-02-04 17:08","102.64"
"2018-02-04 17:18","102.63"
"2018-02-04 17:28","102.62"
"2018-02-04 17:38","102.62"
"2018-02-04 17:48","102.62"
"2018-02-04 17:55","102.61"
"2018-02-04 17:58","102.60"
"2018-02-04 18:08","102.60"
"2018-02-04 18:18","102.59"
"2018-02-04 18:28","102.59"
"2018-02-04 18:38","102.59"
"2018-02-04 18:48","102.60"
"2018-02-04 18:55","102.60"
"2018-02-04 18:58","102.60"
"2018-02-04 19:08","102.60"
"2018-02-04 19:18","102.60"
"2018-02-04 19:28","102.60"
"2018-02-04 19:38","102.61"
"2018-02-04 19:48","102.61"
"2018-02-04 19:55","102.61"
"2018-02-04 19:58","102.61"
"2018-02-04 20:09","102.61"
"2018-02-04 20:18","102.60"
"2018-02-04 20:28","102.61"
"2018-02-04 20:38","102.61"
"2018-02-04 20:48","102.61"
"2018-02-04 20:55","102.61"
"2018-02-04 20:58","102.61"
"2018-02-04 21:08","102.62"
"2018-02-04 21:18","102.61"
"2018-02-04 21:28","102.61"
"2018-02-04 21:38","102.61"
"2018-02-04 21:48","102.62"
"2018-02-04 21:55","102.62"
"2018-02-04 21:58","102.62"
"2018-02-04 22:08","102.61"
"2018-02-04 22:18","102.61"
"2018-02-04 22:28","102.61"
"2018-02-04 22:38","102.61"
"2018-02-04 22:49","102.61"
"2018-02-04 22:55","102.61"
"2018-02-04 22:58","102.61"
"2018-02-04 23:09","102.61"
"2018-02-04 23:18","102.61"
"2018-02-04 23:29","102.61"
"2018-02-04 23:38","102.61"
"2018-02-04 23:49","102.61"
"2018-02-04 23:55","102.62"
"2018-02-04 23:58","102.61"
"2018-02-05 00:09","102.61"
"2018-02-05 00:18","102.62"
"2018-02-05 00:28","102.62"
"2018-02-05 00:38","102.62"
"2018-02-05 00:49","102.62"
"2018-02-05 00:55","102.62"
"2018-02-05 00:58","102.62"
"2018-02-05 01:08","102.62"
"2018-02-05 01:18","102.62"
"2018-02-05 01:29","102.62"
"2018-02-05 01:38","102.62"
"2018-02-05 01:48","102.62"
"2018-02-05 01:55","102.61"
"2018-02-05 01:58","102.61"
"2018-02-05 02:08","102.61"
"2018-02-05 02:18","102.61"
"2018-02-05 02:28","102.61"
"2018-02-05 02:38","102.61"
"2018-02-05 02:48","102.61"
"2018-02-05 02:55","102.61"
"2018-02-05 02:58","102.62"
"2018-02-05 03:08","102.61"
"2018-02-05 03:18","102.61"
"2018-02-05 03:28","102.62"
"2018-02-05 03:38","102.61"
"2018-02-05 03:48","102.61"
"2018-02-05 03:55","102.61"
"2018-02-05 03:58","102.61"
"2018-02-05 04:08","102.61"
"2018-02-05 04:18","102.61"
"2018-02-05 04:28","102.62"
"2018-02-05 04:38","102.62"
"2018-02-05 04:48","102.62"
"2018-02-05 04:55","102.62"
"2018-02-05 04:58","102.63"
"2018-02-05 05:08","102.63"
"2018-02-05 05:18","102.64"
"2018-02-05 05:28","102.64"
"2018-02-05 05:38","102.64"
"2018-02-05 05:48","102.63"
"2018-02-05 05:55","102.64"
"2018-02-05 05:58","102.64"
"2018-02-05 06:08","102.63"
"2018-02-05 06:18","102.63"
"2018-02-05 06:28","102.62"
"2018-02-05 06:38","102.62"
"2018-02-05 06:49","102.61"
"2018-02-05 06:55","102.61"
"2018-02-05 06:58","102.62"
"2018-02-05 07:08","102.61"
"2018-02-05 07:18","102.61"
"2018-02-05 07:29","102.62"
"2018-02-05 07:38","102.63"
"2018-02-05 07:48","102.64"
"2018-02-05 07:55","102.64"
"2018-02-05 07:58","102.65"
"2018-02-05 08:08","102.65"
"2018-02-05 08:18","102.65"
"2018-02-05 08:28","102.65"
"2018-02-05 08:38","102.66"
"2018-02-05 08:48","102.67"
"2018-02-05 08:55","102.67"
"2018-02-05 08:58","102.67"
"2018-02-05 09:08","102.67"
"2018-02-05 09:18","102.67"
"2018-02-05 09:28","102.68"
"2018-02-05 09:38","102.68"
"2018-02-05 09:48","102.68"
"2018-02-05 09:55","102.68"
"2018-02-05 09:58","102.68"
"2018-02-05 10:08","102.68"
"2018-02-05 10:18","102.68"
"2018-02-05 10:28","102.68"
"2018-02-05 10:38","102.67"
"2018-02-05 10:48","102.67"
"2018-02-05 10:55","102.67"
"2018-02-05 10:58","102.67"
"2018-02-05 11:08","102.68"
"2018-02-05 11:18","102.68"
"2018-02-05 11:28","102.68"
"2018-02-05 11:38","102.68"
"2018-02-05 11:48","102.68"
"2018-02-05 11:55","102.68"
"2018-02-05 11:58","102.69"
"2018-02-05 12:08","102.68"
"2018-02-05 12:18","102.68"
"2018-02-05 12:29","102.68"
"2018-02-05 12:38","102.68"
"2018-02-05 12:48","102.67"
"2018-02-05 12:55","102.67"
"2018-02-05 12:58","102.67"
"2018-02-05 13:08","102.67"
"2018-02-05 13:18","102.67"
"2018-02-05 13:28","102.68"
"2018-02-05 13:38","102.67"
"2018-02-05 13:49","102.68"
"2018-02-05 13:55","102.68"
"2018-02-05 13:58","102.67"
"2018-02-05 14:08","102.68"
"2018-02-05 14:18","102.68"
"2018-02-05 14:28","102.68"
"2018-02-05 14:38","102.68"
"2018-02-05 14:49","102.68"
"2018-02-05 14:55","102.68"
"2018-02-05 14:58","102.68"
"2018-02-05 15:08","102.68"
"2018-02-05 15:18","102.68"
"2018-02-05 15:29","102.68"
"2018-02-05 15:38","102.68"
"2018-02-05 15:49","102.69"
"2018-02-05 15:55","102.69"
"2018-02-05 15:58","102.69"
"2018-02-05 16:09","102.70"
"2018-02-05 16:18","102.70"
"2018-02-05 16:28","102.71"
"2018-02-05 16:38","102.71"
"2018-02-05 16:49","102.72"
"2018-02-05 16:55","102.72"
"2018-02-05 16:58","102.72"
"2018-02-05 17:09","102.73"
"2018-02-05 17:18","102.73"
"2018-02-05 17:28","102.74"
"2018-02-05 17:38","102.74"
"2018-02-05 17:49","102.75"
"2018-02-05 17:55","102.75"
"2018-02-05 17:58","102.76"
"2018-02-05 18:09","102.76"
"2018-02-05 18:18","102.76"
"2018-02-05 18:29","102.77"
"2018-02-05 18:38","102.78"
"2018-02-05 18:49","102.79"
"2018-02-05 18:55","102.79"
"2018-02-05 18:58","102.79"
"2018-02-05 19:09","102.79"
"2018-02-05 19:18","102.79"
"2018-02-05 19:29","102.80"
"2018-02-05 19:38","102.80"
"2018-02-05 19:49","102.81"
"2018-02-05 19:55","102.81"
"2018-02-05 19:58","102.82"
"2018-02-05 20:08","102.83"
"2018-02-05 20:18","102.83"
"2018-02-05 20:28","102.85"
"2018-02-05 20:38","102.85"
"2018-02-05 20:48","102.86"
"2018-02-05 20:55","102.87"
"2018-02-05 20:58","102.87"
"2018-02-05 21:08","102.87"
"2018-02-05 21:18","102.88"
"2018-02-05 21:28","102.88"
"2018-02-05 21:38","102.88"
"2018-02-05 21:48","102.89"
"2018-02-05 21:55","102.90"
"2018-02-05 21:58","102.90"
"2018-02-05 22:08","102.90"
"2018-02-05 22:18","102.91"
"2018-02-05 22:29","102.91"
"2018-02-05 22:38","102.91"
"2018-02-05 22:49","102.92"
"2018-02-05 22:55","102.92"
"2018-02-05 22:58","102.92"
"2018-02-05 23:09","102.93"
"2018-02-05 23:18","102.94"
"2018-02-05 23:29","102.94"
"2018-02-05 23:38","102.94"
"2018-02-05 23:49","102.94"
"2018-02-05 23:55","102.95"
"2018-02-05 23:58","102.95"
"2018-02-06 00:09","102.96"
"2018-02-06 00:18","102.97"
"2018-02-06 00:28","102.97"
"2018-02-06 00:38","102.98"
"2018-02-06 00:48","102.99"
"2018-02-06 00:55","103.00"
"2018-02-06 00:58","103.00"
"2018-02-06 01:08","103.01"
"2018-02-06 01:18","103.03"
"2018-02-06 01:28","103.03"
"2018-02-06 01:38","103.03"
"2018-02-06 01:48","103.04"
"2018-02-06 01:55","103.04"
"2018-02-06 01:58","103.04"
"2018-02-06 02:08","103.05"
"2018-02-06 02:18","103.05"
"2018-02-06 02:28","103.06"
"2018-02-06 02:38","103.06"
"2018-02-06 02:48","103.07"
"2018-02-06 02:55","103.07"
"2018-02-06 02:58","103.08"
"2018-02-06 03:08","103.09"
"2018-02-06 03:18","103.10"
"2018-02-06 03:28","103.09"
"2018-02-06 03:38","103.09"
"2018-02-06 03:48","103.09"
"2018-02-06 03:55","103.08"
"2018-02-06 03:58","103.09"
"2018-02-06 04:08","103.09"
"2018-02-06 04:18","103.10"
"2018-02-06 04:28","103.10"
"2018-02-06 04:38","103.10"
"2018-02-06 04:48","103.11"
"2018-02-06 04:55","103.11"
"2018-02-06 04:58","103.11"
"2018-02-06 05:08","103.11"
"2018-02-06 05:18","103.12"
"2018-02-06 05:28","103.12"
"2018-02-06 05:38","103.12"
"2018-02-06 05:48","103.13"
"2018-02-06 05:55","103.14"
"2018-02-06 05:58","103.14"
"2018-02-06 06:08","103.14"
"2018-02-06 06:18","103.15"
"2018-02-06 06:28","103.15"
"2018-02-06 06:38","103.16"
"2018-02-06 06:49","103.17"
"2018-02-06 06:55","103.17"
"2018-02-06 06:58","103.17"
"2018-02-06 07:08","103.18"
"2018-02-06 07:18","103.18"
"2018-02-06 07:28","103.18"
"2018-02-06 07:38","103.19"
"2018-02-06 07:48","103.21"
"2018-02-06 07:55","103.19"
"2018-02-06 07:58","103.19"
"2018-02-06 08:08","103.20"
"2018-02-06 08:18","103.20"
"2018-02-06 08:28","103.21"
"2018-02-06 08:38","103.21"
"2018-02-06 08:48","103.21"
"2018-02-06 08:55","103.22"
"2018-02-06 08:58","103.22"
"2018-02-06 09:08","103.22"
"2018-02-06 09:18","103.22"
"2018-02-06 09:28","103.22"
"2018-02-06 09:38","103.22"
"2018-02-06 09:48","103.23"
"2018-02-06 09:55","103.23"
"2018-02-06 09:58","103.23"
"2018-02-06 10:08","103.22"
"2018-02-06 10:18","103.23"
"2018-02-06 10:28","103.23"
