"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:02","8","S","23"
"2018-02-01 00:12","9","SW","28"
"2018-02-01 00:22","15","SSW","23"
"2018-02-01 00:32","11","SSW","22"
"2018-02-01 00:42","10","SSW","23"
"2018-02-01 00:52","14","S","25"
"2018-02-01 01:02","12","SSW","27"
"2018-02-01 01:12","14","S","22"
"2018-02-01 01:22","13","SSW","23"
"2018-02-01 01:32","14","SW","24"
"2018-02-01 01:42","11","SSW","22"
"2018-02-01 01:52","12","S","22"
"2018-02-01 02:02","15","SSW","24"
"2018-02-01 02:12","10","SSW","19"
"2018-02-01 02:22","12","SSW","21"
"2018-02-01 02:32","11","SSW","23"
"2018-02-01 02:42","10","SSW","23"
"2018-02-01 02:52","10","S","23"
"2018-02-01 03:03","10","SSW","19"
"2018-02-01 03:12","10","SSW","19"
"2018-02-01 03:22","9","SSW","19"
"2018-02-01 03:32","9","SW","22"
"2018-02-01 03:42","14","SSW","26"
"2018-02-01 03:52","13","SW","26"
"2018-02-01 04:02","12","SSW","26"
"2018-02-01 04:12","11","SSW","24"
"2018-02-01 04:22","15","SSW","30"
"2018-02-01 04:32","14","S","31"
"2018-02-01 04:42","14","SSW","30"
"2018-02-01 04:52","15","S","32"
"2018-02-01 05:02","14","SSW","30"
"2018-02-01 05:12","11","SSW","26"
"2018-02-01 05:22","15","S","27"
"2018-02-01 05:32","16","SSW","32"
"2018-02-01 05:42","7","S","27"
"2018-02-01 05:52","8","SSW","17"
"2018-02-01 06:02","9","S","16"
"2018-02-01 06:12","10","S","18"
"2018-02-01 06:22","8","SSE","18"
"2018-02-01 06:32","8","S","15"
"2018-02-01 06:42","13","SSW","23"
"2018-02-01 06:52","9","SW","19"
"2018-02-01 07:02","11","SW","20"
"2018-02-01 07:12","9","SSW","21"
"2018-02-01 07:22","8","S","19"
"2018-02-01 07:32","7","S","18"
"2018-02-01 07:42","10","S","20"
"2018-02-01 07:52","8","S","17"
"2018-02-01 08:02","10","SSW","19"
"2018-02-01 08:12","9","S","17"
"2018-02-01 08:22","8","S","21"
"2018-02-01 08:32","10","S","19"
"2018-02-01 08:42","9","S","24"
"2018-02-01 08:52","10","S","19"
"2018-02-01 09:02","12","SSE","24"
"2018-02-01 09:12","14","SSE","25"
"2018-02-01 09:22","11","S","21"
"2018-02-01 09:32","12","S","25"
"2018-02-01 09:42","12","SSW","29"
"2018-02-01 09:52","10","S","24"
"2018-02-01 10:02","15","S","24"
"2018-02-01 10:12","15","SSW","26"
"2018-02-01 10:22","12","S","23"
"2018-02-01 10:32","19","S","30"
"2018-02-01 10:42","13","S","29"
"2018-02-01 10:52","14","SW","32"
"2018-02-01 11:02","19","SW","33"
"2018-02-01 11:12","20","SW","42"
"2018-02-01 11:22","20","S","35"
"2018-02-01 11:32","17","SW","35"
"2018-02-01 11:42","18","SW","38"
"2018-02-01 11:52","13","SW","32"
"2018-02-01 12:02","16","SSW","36"
"2018-02-01 12:12","17","SW","29"
"2018-02-01 12:22","17","SSW","41"
"2018-02-01 12:32","15","SSW","36"
"2018-02-01 12:42","20","S","38"
"2018-02-01 12:52","25","SSW","50"
"2018-02-01 13:02","24","SW","43"
"2018-02-01 13:12","21","SW","41"
"2018-02-01 13:22","26","SW","42"
"2018-02-01 13:32","23","SW","48"
"2018-02-01 13:42","25","SW","46"
"2018-02-01 13:52","26","SW","39"
"2018-02-01 14:02","24","SW","39"
"2018-02-01 14:12","23","SW","39"
"2018-02-01 14:22","19","SSW","36"
"2018-02-01 14:32","19","SSW","34"
"2018-02-01 14:42","19","SW","30"
"2018-02-01 14:52","23","SW","34"
"2018-02-01 15:02","24","SW","37"
"2018-02-01 15:12","17","SW","32"
"2018-02-01 15:22","12","SSW","33"
"2018-02-01 15:32","16","S","30"
"2018-02-01 15:42","8","WSW","23"
"2018-02-01 15:52","16","SSW","29"
"2018-02-01 16:02","20","SW","33"
"2018-02-01 16:12","22","SW","38"
"2018-02-01 16:22","20","SW","37"
"2018-02-01 16:32","18","SW","30"
"2018-02-01 16:42","16","WSW","36"
"2018-02-01 16:52","20","SW","31"
"2018-02-01 17:02","20","WSW","32"
"2018-02-01 17:12","18","SW","31"
"2018-02-01 17:22","18","WNW","39"
"2018-02-01 17:32","18","W","31"
"2018-02-01 17:42","19","WNW","28"
"2018-02-01 17:52","13","W","31"
"2018-02-01 18:02","15","WNW","23"
"2018-02-01 18:12","13","WNW","24"
"2018-02-01 18:22","13","WNW","21"
"2018-02-01 18:32","14","W","26"
"2018-02-01 18:42","11","WNW","26"
"2018-02-01 18:52","15","WNW","28"
"2018-02-01 19:02","18","WNW","24"
"2018-02-01 19:12","17","WNW","30"
"2018-02-01 19:22","15","W","26"
"2018-02-01 19:32","18","WNW","26"
"2018-02-01 19:42","14","W","25"
"2018-02-01 19:52","20","WNW","28"
"2018-02-01 20:02","18","W","28"
"2018-02-01 20:12","","N/A","30"
"2018-02-01 20:22","23","W","34"
"2018-02-01 20:32","22","WNW","33"
"2018-02-01 20:42","17","W","31"
"2018-02-01 20:52","18","WNW","29"
"2018-02-01 21:02","17","W","30"
"2018-02-01 21:12","13","W","25"
"2018-02-01 21:22","14","W","26"
"2018-02-01 21:32","17","W","33"
"2018-02-01 21:42","14","W","28"
"2018-02-01 21:52","13","W","28"
"2018-02-01 22:02","18","W","31"
"2018-02-01 22:12","16","W","30"
"2018-02-01 22:22","17","W","24"
"2018-02-01 22:32","17","W","26"
"2018-02-01 22:42","14","WNW","26"
"2018-02-01 22:52","17","W","22"
"2018-02-01 23:02","14","W","23"
"2018-02-01 23:12","13","W","21"
"2018-02-01 23:22","13","W","26"
"2018-02-01 23:32","20","W","30"
"2018-02-01 23:42","18","WSW","31"
"2018-02-02 00:02","17","WSW","32"
"2018-02-02 00:12","18","WSW","32"
"2018-02-02 00:22","19","WSW","26"
"2018-02-02 00:32","17","WSW","25"
"2018-02-02 00:42","20","WSW","27"
"2018-02-02 00:52","20","W","31"
"2018-02-02 01:02","15","WSW","24"
"2018-02-02 01:12","17","W","27"
"2018-02-02 01:22","18","W","27"
"2018-02-02 01:32","17","W","26"
"2018-02-02 01:42","18","WSW","28"
"2018-02-02 01:52","17","WSW","30"
"2018-02-02 02:02","14","WSW","27"
"2018-02-02 02:12","15","WSW","23"
"2018-02-02 02:22","11","WSW","22"
"2018-02-02 02:32","13","WSW","25"
"2018-02-02 02:42","21","WSW","30"
"2018-02-02 02:52","16","WSW","30"
"2018-02-02 03:02","19","W","28"
"2018-02-02 03:12","20","WSW","27"
"2018-02-02 03:22","16","W","26"
"2018-02-02 03:32","19","WSW","30"
"2018-02-02 03:42","18","WSW","29"
"2018-02-02 03:52","17","SW","26"
"2018-02-02 04:02","14","WSW","27"
"2018-02-02 04:12","17","WSW","26"
"2018-02-02 04:22","15","SW","26"
"2018-02-02 04:32","15","WSW","31"
"2018-02-02 04:42","19","N/A","34"
"2018-02-02 04:52","19","WSW","34"
"2018-02-02 05:02","24","W","33"
"2018-02-02 05:12","23","WSW","32"
"2018-02-02 05:22","18","WSW","30"
"2018-02-02 05:32","22","W","33"
"2018-02-02 05:42","22","WSW","30"
"2018-02-02 05:52","15","WSW","27"
"2018-02-02 06:02","20","WSW","28"
"2018-02-02 06:12","19","WSW","30"
"2018-02-02 06:22","15","WSW","33"
"2018-02-02 06:32","14","WSW","29"
"2018-02-02 06:42","17","WSW","28"
"2018-02-02 06:52","19","WSW","28"
"2018-02-02 07:02","19","WSW","26"
"2018-02-02 07:12","20","WSW","30"
"2018-02-02 07:22","13","WSW","29"
"2018-02-02 07:32","15","WSW","24"
"2018-02-02 07:42","17","WSW","25"
"2018-02-02 07:52","18","WSW","28"
"2018-02-02 08:02","17","W","29"
"2018-02-02 08:12","17","WSW","27"
"2018-02-02 08:22","","N/A","27"
"2018-02-02 08:32","13","W","27"
"2018-02-02 08:42","26","W","34"
"2018-02-02 08:52","20","W","32"
"2018-02-02 09:02","23","W","33"
"2018-02-02 09:12","19","W","30"
"2018-02-02 09:22","13","WSW","28"
"2018-02-02 09:32","17","WSW","24"
"2018-02-02 09:42","20","WSW","26"
"2018-02-02 09:52","21","WSW","33"
"2018-02-02 10:02","18","WNW","34"
"2018-02-02 10:12","14","W","31"
"2018-02-02 10:22","16","WNW","29"
"2018-02-02 10:32","23","W","31"
"2018-02-02 10:42","19","W","33"
"2018-02-02 10:52","15","WNW","30"
"2018-02-02 11:02","20","WSW","24"
"2018-02-02 11:12","19","WNW","33"
"2018-02-02 11:22","23","W","38"
"2018-02-02 11:32","22","WSW","31"
"2018-02-02 11:42","24","W","40"
"2018-02-02 11:52","22","WSW","35"
"2018-02-02 12:02","17","W","30"
"2018-02-02 12:12","13","W","31"
"2018-02-02 12:22","21","W","32"
"2018-02-02 12:32","18","W","32"
"2018-02-02 12:42","20","W","27"
"2018-02-02 12:52","16","WSW","27"
"2018-02-02 13:02","19","W","37"
"2018-02-02 13:12","15","W","29"
"2018-02-02 13:22","15","WSW","35"
"2018-02-02 13:32","21","W","27"
"2018-02-02 13:42","26","SW","40"
"2018-02-02 13:52","23","W","35"
"2018-02-02 14:02","21","WSW","35"
"2018-02-02 14:12","23","WSW","30"
"2018-02-02 14:22","21","WSW","30"
"2018-02-02 14:32","20","W","33"
"2018-02-02 14:42","18","W","37"
"2018-02-02 15:02","24","WSW","35"
"2018-02-02 15:22","20","SW","36"
"2018-02-02 15:42","18","SW","26"
"2018-02-02 16:03","22","WSW","33"
"2018-02-02 16:22","21","WSW","30"
"2018-02-02 16:42","16","WSW","27"
"2018-02-02 17:03","17","WSW","30"
"2018-02-02 17:22","17","WSW","28"
"2018-02-02 17:43","12","SW","17"
"2018-02-02 18:03","10","WSW","18"
"2018-02-02 18:22","8","SW","13"
"2018-02-02 18:42","8","WSW","14"
"2018-02-02 19:02","12","WSW","18"
"2018-02-02 19:22","12","SW","19"
"2018-02-02 19:42","8","SW","18"
"2018-02-02 20:02","9","SW","15"
"2018-02-02 20:22","5","SSW","12"
"2018-02-02 20:42","5","SSW","8"
"2018-02-02 21:02","5","SW","10"
"2018-02-02 21:22","6","WSW","13"
"2018-02-02 21:42","9","SW","21"
"2018-02-02 22:02","12","SW","24"
"2018-02-02 22:22","10","SSW","19"
"2018-02-02 22:42","11","SW","19"
"2018-02-02 23:03","9","WSW","17"
"2018-02-02 23:22","17","SW","38"
"2018-02-02 23:42","7","SW","23"
"2018-02-03 00:03","13","SW","21"
"2018-02-03 00:22","12","WSW","19"
"2018-02-03 00:42","13","SW","24"
"2018-02-03 01:03","17","WSW","23"
"2018-02-03 01:22","12","SW","20"
"2018-02-03 01:42","14","WSW","25"
"2018-02-03 02:02","11","WSW","24"
"2018-02-03 02:22","18","WSW","25"
"2018-02-03 02:42","13","SW","27"
"2018-02-03 03:03","17","SW","23"
"2018-02-03 03:22","15","SW","33"
"2018-02-03 03:42","14","SW","28"
"2018-02-03 04:02","13","WSW","24"
"2018-02-03 04:22","10","SW","25"
"2018-02-03 04:42","15","SW","26"
"2018-02-03 05:03","11","SW","23"
"2018-02-03 05:22","7","SW","19"
"2018-02-03 05:42","10","SW","17"
"2018-02-03 06:02","11","SSW","23"
"2018-02-03 06:22","9","SW","12"
"2018-02-03 06:42","13","SW","22"
"2018-02-03 07:03","13","SW","22"
"2018-02-03 07:22","14","SSW","25"
"2018-02-03 07:42","14","SW","26"
"2018-02-03 08:03","12","S","23"
"2018-02-03 08:22","15","SSW","29"
"2018-02-03 08:42","18","SSW","27"
"2018-02-03 09:02","16","SSE","26"
"2018-02-03 09:22","11","S","30"
"2018-02-03 09:42","18","S","33"
"2018-02-03 10:03","18","S","30"
"2018-02-03 10:22","14","SSW","31"
"2018-02-03 10:42","22","S","43"
"2018-02-03 11:02","15","S","43"
"2018-02-03 11:22","16","SW","37"
"2018-02-03 11:42","18","SSW","33"
"2018-02-03 12:02","20","S","38"
"2018-02-03 12:22","16","S","32"
"2018-02-03 12:42","18","SSW","33"
"2018-02-03 13:02","17","S","36"
"2018-02-03 13:22","19","SSW","35"
"2018-02-03 13:42","21","S","30"
"2018-02-03 14:02","14","SW","28"
"2018-02-03 14:22","16","SW","39"
"2018-02-03 14:42","12","SSW","31"
"2018-02-03 15:02","14","SSW","30"
"2018-02-03 15:22","19","S","28"
"2018-02-03 15:42","9","S","28"
"2018-02-03 16:02","8","SSE","19"
"2018-02-03 16:22","11","SE","20"
"2018-02-03 16:42","10","SSE","18"
"2018-02-03 17:02","6","SSE","15"
"2018-02-03 17:22","5","SSE","12"
"2018-02-03 17:42","10","SSE","21"
"2018-02-03 18:03","9","SSE","22"
"2018-02-03 18:22","8","SSE","23"
"2018-02-03 18:42","12","SE","17"
"2018-02-03 19:03","11","SE","20"
"2018-02-03 19:23","14","SE","26"
"2018-02-03 19:42","12","S","26"
"2018-02-03 20:03","17","SSE","31"
"2018-02-03 20:22","16","SSE","28"
"2018-02-03 20:42","14","SE","24"
"2018-02-03 21:02","15","SSE","28"
"2018-02-03 21:22","18","SSE","30"
"2018-02-03 21:42","14","SSE","24"
"2018-02-03 22:03","12","SSE","22"
"2018-02-03 22:23","14","SE","25"
"2018-02-03 22:42","15","SE","25"
"2018-02-03 23:03","14","SE","29"
"2018-02-03 23:22","20","SSE","31"
"2018-02-03 23:43","18","SE","29"
"2018-02-04 00:03","15","SE","24"
"2018-02-04 00:23","13","SE","24"
"2018-02-04 00:43","12","SSE","23"
"2018-02-04 01:03","8","S","17"
"2018-02-04 01:22","15","SSE","31"
"2018-02-04 01:42","15","SSE","33"
"2018-02-04 02:03","10","SSE","24"
"2018-02-04 02:22","10","SSE","24"
"2018-02-04 02:43","17","S","28"
"2018-02-04 03:03","21","SSE","33"
"2018-02-04 03:22","18","SSW","32"
"2018-02-04 03:42","25","S","48"
"2018-02-04 04:03","26","S","47"
"2018-02-04 04:22","19","S","36"
"2018-02-04 04:42","17","S","33"
"2018-02-04 05:02","18","SSW","31"
"2018-02-04 05:22","14","SSE","27"
"2018-02-04 05:42","15","S","30"
"2018-02-04 06:02","14","S","26"
"2018-02-04 06:22","13","S","25"
"2018-02-04 06:42","13","S","25"
"2018-02-04 07:02","16","SSE","30"
"2018-02-04 07:22","12","SSE","31"
"2018-02-04 07:42","14","S","31"
"2018-02-04 08:03","10","S","24"
"2018-02-04 08:22","10","S","26"
"2018-02-04 08:42","12","SSE","28"
"2018-02-04 09:02","10","SSE","28"
"2018-02-04 09:22","12","S","23"
"2018-02-04 09:42","9","S","27"
"2018-02-04 10:03","12","SE","28"
"2018-02-04 10:22","11","SSE","23"
"2018-02-04 10:42","8","SSE","18"
"2018-02-04 11:02","11","SSE","26"
"2018-02-04 11:22","6","SSE","22"
"2018-02-04 11:42","11","SSE","27"
"2018-02-04 12:02","13","S","27"
"2018-02-04 12:22","8","SSW","24"
"2018-02-04 12:42","12","S","20"
"2018-02-04 13:02","8","S","21"
"2018-02-04 13:22","13","S","22"
"2018-02-04 13:42","10","SSE","20"
"2018-02-04 14:02","9","S","17"
"2018-02-04 14:22","10","SSE","20"
"2018-02-04 14:42","9","SSW","18"
"2018-02-04 15:02","7","SSW","19"
"2018-02-04 15:22","6","S","14"
"2018-02-04 15:42","5","S","18"
"2018-02-04 16:02","8","S","17"
"2018-02-04 16:22","12","S","18"
"2018-02-04 16:42","8","SSW","15"
"2018-02-04 17:03","7","S","13"
"2018-02-04 17:22","6","SSE","14"
"2018-02-04 17:42","9","S","18"
"2018-02-04 18:02","8","S","15"
"2018-02-04 18:22","7","SW","16"
"2018-02-04 18:42","12","SW","19"
"2018-02-04 19:02","7","SW","17"
"2018-02-04 19:22","10","SSW","21"
"2018-02-04 19:42","7","SSW","18"
"2018-02-04 20:03","14","SW","23"
"2018-02-04 20:22","13","SW","19"
"2018-02-04 20:42","13","SW","22"
"2018-02-04 21:02","13","WSW","21"
"2018-02-04 21:22","15","WNW","25"
"2018-02-04 21:42","17","WNW","27"
"2018-02-04 22:02","16","WNW","36"
"2018-02-04 22:22","19","WNW","36"
"2018-02-04 22:42","19","WNW","32"
"2018-02-04 23:03","23","NW","37"
"2018-02-04 23:22","15","WNW","31"
"2018-02-04 23:42","22","WNW","39"
"2018-02-05 00:03","13","W","37"
"2018-02-05 00:22","18","W","30"
"2018-02-05 00:42","13","W","29"
"2018-02-05 01:03","19","W","31"
"2018-02-05 01:22","16","W","30"
"2018-02-05 01:42","12","W","26"
"2018-02-05 02:03","20","W","29"
"2018-02-05 02:22","17","WSW","24"
"2018-02-05 02:42","21","WSW","30"
"2018-02-05 03:03","17","WSW","30"
"2018-02-05 03:22","23","W","36"
"2018-02-05 03:42","18","W","27"
"2018-02-05 04:02","14","WSW","25"
"2018-02-05 04:22","13","WSW","21"
"2018-02-05 04:42","12","WSW","22"
"2018-02-05 05:02","10","WSW","21"
"2018-02-05 05:22","13","WSW","19"
"2018-02-05 05:42","15","WSW","23"
"2018-02-05 06:02","16","WSW","23"
"2018-02-05 06:22","13","WSW","22"
"2018-02-05 06:42","9","SW","18"
"2018-02-05 07:03","8","SW","12"
"2018-02-05 07:22","9","SW","12"
"2018-02-05 07:42","9","SW","13"
"2018-02-05 08:02","8","SW","13"
"2018-02-05 08:22","6","SSW","12"
"2018-02-05 08:42","8","SW","12"
"2018-02-05 09:02","6","SSW","10"
"2018-02-05 09:22","7","WSW","13"
"2018-02-05 09:42","8","WSW","19"
"2018-02-05 10:02","16","W","24"
"2018-02-05 10:22","14","SW","19"
"2018-02-05 10:42","12","SW","17"
